tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	5071	0	live	PRKN	AR-JP, LPRS2, PARK2, PDJ	parkin RBR E3 ubiquitin protein ligase	E3 ubiquitin-protein ligase parkin|Parkinson disease (autosomal recessive, juvenile) 2, parkin|parkinson juvenile disease protein 2|parkinson protein 2 E3 ubiquitin protein ligase|parkinson protein 2, E3 ubiquitin protein ligase (parkin)	6q26	6	NC_000006.12	161347417	162727766	minus	13	602544	
9606	Homo sapiens	11315	0	live	PARK7	DJ-1, DJ1, GATD2, HEL-S-67p	Parkinsonism associated deglycase	Parkinson disease protein 7|Parkinson disease (autosomal recessive, early onset) 7|epididymis secretory sperm binding protein Li 67p|maillard deglycase|oncogene DJ1|parkinson protein 7|protein DJ-1|protein deglycase DJ-1|protein/nucleic acid deglycase DJ-1	1p36.23	1	NC_000001.11	7961711	7985505	plus	7	602533	
9606	Homo sapiens	6622	0	live	SNCA	NACP, PARK1, PARK4, PD1	synuclein alpha	alpha-synuclein|I+/--synuclein|non A-beta component of AD amyloid|synuclein alpha-140|synuclein, alpha (non A4 component of amyloid precursor)	4q22.1	4	NC_000004.12	89724099	89838304	minus	12	163890	
9606	Homo sapiens	26058	0	live	GIGYF2	GYF2, PARK11, PERQ2, PERQ3, TNRC15	GRB10 interacting GYF protein 2	GRB10-interacting GYF protein 2|PERQ amino acid rich, with GYF domain 3|PERQ amino acid-rich with GYF domain-containing protein 2|Parkinson disease (autosomal recessive, early onset) 11|trinucleotide repeat-containing gene 15 protein	2q37.1	2	NC_000002.12	232697331	232860605	plus	35	612003	
9606	Homo sapiens	100359403	0	live	PARK16		Parkinson disease 16 (susceptibility)		1q32	1						613164	
10090	Mus musculus	57320	0	live	Park7	DJ-1, Dj1	Parkinson disease (autosomal recessive, early onset) 7	Parkinson disease protein 7 homolog|RNA-binding protein regulatory subunit|maillard deglycase|parkinson disease protein 7 homolog|parkinsonism-associated deglycase|protein DJ-1|protein deglycase DJ-1|protein/nucleic acid deglycase DJ-1	4 81.52 cM	4	NC_000070.7	150981590	150994378	minus	8		
10116	Rattus norvegicus	117287	0	live	Park7	CAP1, DJ-1, Dj1, SP22	Parkinsonism associated deglycase	Parkinson disease protein 7 homolog|Parkinson disease (autosomal recessive, early onset) 7|contraception-associated protein 1|fertility protein SP22|maillard deglycase|parkinson disease protein 7 homolog|parkinson protein 7|protein DJ-1|protein deglycase DJ-1|protein/nucleic acid deglycase DJ-1	5q36	5	NC_086023.1	166636551	166659825	minus	11		
9606	Homo sapiens	170534	0	live	PARK10	AAOPD	Parkinson disease 10 (susceptibility)	Parkinson disease, age at onset of	1p32	1						606852	
10090	Mus musculus	50873	0	live	Prkn	Park2	parkin RBR E3 ubiquitin protein ligase	E3 ubiquitin-protein ligase parkin|Parkinson disease (autosomal recessive, juvenile) 2, parkin|parkin protein	17 7.8 cM	17	NC_000083.7	11059227	12282257	plus	20		
9606	Homo sapiens	5072	0	live	PARK3		Parkinson disease 3 (autosomal dominant, Lewy body)	Parkinson disease (autosomal dominant, Lewy body) 3|Parkinson disease, dominant Lewy-body, 3	2p13	2						602404	
10116	Rattus norvegicus	56816	0	live	Prkn	Park, Park2	parkin RBR E3 ubiquitin protein ligase	E3 ubiquitin-protein ligase parkin|Parkinson disease (autosomal recessive, juvenile) 2, parkin|parkin RBR E3 ubiquitin protein ligase 2|parkin variant SV5DEL|parkinson protein 2, E3 ubiquitin protein ligase	1q11	1	NC_086019.1	51236410	52430242	minus	20		
9606	Homo sapiens	4137	0	live	MAPT	DDPAC, FTDP-17L, MSTD, MTBT1, MTBT2, PPND, PPP1R103, TAU, Tau-PHF6, tau-40, MAPT	microtubule associated protein tau	microtubule-associated protein tau|G protein beta1/gamma2 subunit-interacting factor 1|PHF-tau|Tau-derived paired helical filament hexapeptide|neurofibrillary tangle protein|paired helical filament-tau|protein phosphatase 1, regulatory subunit 103	17q21.31	17	NC_000017.11	45894554	46028334	plus	16	157140	
9606	Homo sapiens	677662	0	live	PARK12		Parkinson disease 12 (susceptibility)	Parkinson disease (X-linked) 12	Xq21-q25	X						300557	
9606	Homo sapiens	108353827	0	live	PARK21		Parkinson disease 21		3q22	3						616361	
7955	Danio rerio	449674	0	live	park7	dj1, zgc:103725	parkinson protein 7	Parkinson disease protein 7 homolog|DJ-1 protein|maillard deglycase|parkinson disease (autosomal recessive, early onset) 7|parkinson disease protein 7 homolog|parkinsonism-associated deglycase|protein DJ-1|protein DJ-1zDJ-1|protein deglycase DJ-1zDJ-1|protein/nucleic acid deglycase DJ-1|zDJ-1		11	NC_007122.7	41459837	41474162	plus	6		
9598	Pan troglodytes	746063	0	live	PARK7	CK820_G0035078	Parkinsonism associated deglycase	protein deglycase DJ-1|Parkinson disease protein 7|Parkinson disease (autosomal recessive, early onset) 7|parkinson protein 7		1	NC_072398.2	224015253	224039267	minus	9		
9615	Canis lupus familiaris	479595	0	live	PARK7		Parkinsonism associated deglycase	protein deglycase DJ-1|Parkinson disease protein 7|Parkinson disease (autosomal recessive, early onset) 7		5	NC_051809.1	61791984	61808701	plus	7		
8932	Columba livia	102095711	0	live	GATD1	A306_09698, PDDC1	glutamine amidotransferase class 1 domain containing 1	Parkinson disease 7 domain-containing protein 1|Parkinson disease 7 domain containing 1|glutamine amidotransferase like class 1 domain containing 1		Un	NW_004973578.1	31903	107760	plus	18		
7011	Schistocerca nitens	126251460	0	live	LOC126251460		Parkinson disease protein 7 homolog	Parkinson disease protein 7 homolog|Parkinson disease protein 7-like		1	NC_064614.1	438788640	439009485	plus	11		
7955	Danio rerio	550328	0	live	prkn	park2, si:ch211-123f21.1, zgc:112390	parkin RBR E3 ubiquitin protein ligase	E3 ubiquitin-protein ligase parkin|Parkinson disease (autosomal recessive, juvenile) 2, parkin		13	NC_007124.7	3354895	3474366	minus	11		
